trip_id,trip_name,segment_id,osm_segment_id,length_meters,road_type,lanes,lanes_source,tunnel,max_speed,speed_source,traffic_light,coords,node_degree,betweenness,closeness,rarity_score
26,Korfez - Dilovasi,26009,1975839956-1637417827,12869.212489263822,motorway,3,osm,0,130,osm,0,"LINESTRING (29.7702177 40.7724832, 29.7695362 40.772639, 29.7682087 40.7729327, 29.7659154 40.7734616, 29.7648816 40.7737108, 29.7634954 40.7740234, 29.7626113 40.7742202, 29.7616132 40.7744531, 29.7599 40.7748613, 29.7587066 40.7751337, 29.7580051 40.7753177, 29.7572257 40.7754954, 29.7561348 40.7757352, 29.7541878 40.7761871, 29.7521065 40.7766658, 29.7508759 40.7769431, 29.749341 40.7773068, 29.7482937 40.7775548, 29.7474335 40.7777539, 29.7464463 40.777978, 29.7456111 40.7781456, 29.7448279 40.7782872, 29.7442212 40.7783841, 29.743519 40.7784767, 29.7428576 40.7785422, 29.7421049 40.7786172, 29.7414402 40.778636, 29.7408089 40.778635, 29.739867 40.7786071, 29.7390969 40.7785711, 29.7383382 40.7785033, 29.7372273 40.7783768, 29.7361851 40.7782141, 29.734943 40.7779863, 29.7338365 40.7777726, 29.7327739 40.7775832, 29.7319838 40.7774483, 29.7311759 40.7773402, 29.7303611 40.7772464, 29.7295504 40.7771666, 29.7285214 40.7771098, 29.7273272 40.7770978, 29.726692 40.7771064, 29.7260198 40.777143, 29.7250062 40.7772353, 29.7244517 40.7773199, 29.7236012 40.7774716, 29.7228437 40.7776055, 29.7217906 40.7777989, 29.7207329 40.7780149, 29.7197845 40.7782386, 29.7188607 40.7784624, 29.7182141 40.7786008, 29.7175716 40.7787269, 29.7167305 40.778871, 29.7161024 40.7789635, 29.7150901 40.7790544, 29.7142997 40.7791097, 29.713497 40.77916, 29.712675 40.77916, 29.7116263 40.779134, 29.7077169 40.7790319, 29.7068807 40.7790015, 29.7059376 40.7789735, 29.7045724 40.7789524, 29.7036995 40.7789794, 29.7030005 40.7790144, 29.7021721 40.7790774, 29.7015053 40.7791465, 29.7007937 40.7792521, 29.6993231 40.7794382, 29.6985615 40.7795324, 29.6976734 40.7796327, 29.6965274 40.7797684, 29.6955678 40.7798606, 29.6948631 40.7799223, 29.6941304 40.7799725, 29.692867 40.7800337, 29.6914487 40.7800658, 29.6905247 40.7800467, 29.6898656 40.7800309, 29.6886678 40.7799666, 29.6874424 40.779879, 29.6867974 40.7798111, 29.6859083 40.7797152, 29.6848436 40.779599, 29.6839677 40.7794742, 29.6829041 40.7793372, 29.6819946 40.7792177, 29.681246 40.7791263, 29.6799244 40.7789908, 29.67915 40.778934, 29.6779997 40.7789148, 29.6772337 40.7789232, 29.676399 40.7789606, 29.6755564 40.7790322, 29.6746307 40.7791259, 29.6738718 40.7792336, 29.6730525 40.7793746, 29.672021 40.7795553, 29.6707052 40.7797482, 29.6697178 40.7798799, 29.6686673 40.7800022, 29.6682653 40.7800321, 29.66789 40.7800458, 29.6670146 40.7800757, 29.6662685 40.7800757, 29.6657074 40.780058, 29.6650707 40.7800314, 29.6644956 40.7799884, 29.6639418 40.7799292, 29.6629301 40.7798, 29.6623388 40.7796895, 29.661684 40.7795692, 29.6606496 40.7793419, 29.6598043 40.7791624, 29.6589006 40.7789521, 29.6585112 40.7788758, 29.6581583 40.7788223, 29.657726 40.7787658, 29.6573098 40.7787273, 29.6568875 40.7787073, 29.656326 40.7786999, 29.6553261 40.778756, 29.6542556 40.7788423, 29.6536868 40.7788787, 29.6531047 40.7788867, 29.6524746 40.7788655, 29.6516622 40.7787988, 29.6507097 40.7786783, 29.6498367 40.7786013, 29.6488373 40.7785539, 29.6480295 40.7785172, 29.6471628 40.7784647, 29.6467798 40.7784237, 29.6464075 40.7783624, 29.645727 40.7782138, 29.6447322 40.7779797, 29.643903 40.7778442, 29.642966 40.7777339, 29.6415579 40.7775648, 29.6390885 40.7773153, 29.6377341 40.7771461, 29.636457 40.777073, 29.6358227 40.7770477, 29.6352009 40.7770723, 29.6347848 40.7771203, 29.634374 40.7771865, 29.6339893 40.7772634, 29.633625 40.7773496, 29.6332313 40.7774673, 29.6328782 40.7775959, 29.6325237 40.7777377, 29.6322059 40.7778841, 29.6319598 40.7780095, 29.6317077 40.7781533, 29.6313387 40.7783943, 29.630992 40.7786414, 29.6305847 40.7789763, 29.6302218 40.7793395, 29.6293787 40.7802278, 29.6282641 40.7814722, 29.6277439 40.7820184, 29.6271915 40.7825647, 29.6267769 40.7829651, 29.625818 40.7838014, 29.6244212 40.7849061)",3,0.12959167718722667,2.5098114923200174e-05,58.40559731641238
26,Korfez - Dilovasi,26010,1637417827-26551536,3202.454826512417,motorway,3,osm,1,130,osm,0,"LINESTRING (29.6244212 40.7849061, 29.6234875 40.7855838, 29.6216436 40.7868865, 29.6212509 40.7871587, 29.6208297 40.7874, 29.6202363 40.7877154, 29.6196975 40.7879601, 29.619181 40.788154, 29.6188143 40.7882655, 29.6184513 40.7883605, 29.6181544 40.7884326, 29.617747 40.7884984, 29.6173623 40.7885524, 29.6169713 40.7885872, 29.616566 40.788624, 29.6161697 40.7886505, 29.6157877 40.7886474, 29.615193 40.7886082, 29.6146506 40.7885271, 29.614294 40.7884551, 29.6139233 40.78836, 29.6135736 40.7882588, 29.6132317 40.7881355, 29.6128923 40.7879931, 29.6125637 40.7878341, 29.6122473 40.7876806, 29.6117468 40.7873901, 29.6116504 40.7873379, 29.6113731 40.7871618, 29.6111028 40.7869708, 29.6108371 40.7867828, 29.6105842 40.7865769, 29.6102523 40.7862835, 29.6083972 40.7842014, 29.6082409 40.7840297, 29.607991 40.7837201, 29.6077178 40.7834069, 29.6073583 40.7830218, 29.6071419 40.7828172, 29.606887 40.7826001, 29.6066416 40.7824237, 29.6063583 40.7822341, 29.606056 40.782059, 29.6057373 40.781879, 29.6054326 40.7817071, 29.6050796 40.781509, 29.6047331 40.78133, 29.6043762 40.7811576, 29.6040737 40.7810108, 29.6036548 40.7808203, 29.6030214 40.7805371, 29.6023759 40.7802755, 29.6007143 40.7796286, 29.5991817 40.7790442, 29.5978462 40.7785414, 29.5966896 40.7781303, 29.5952168 40.7775389, 29.5945004 40.7772312, 29.5936809 40.7768381)",3,0.16998222896491094,3.1691642536635896e-05,57.81340966134933
26,Korfez - Dilovasi,26011,26551536-26551308,5849.8112126504575,motorway,3,osm,1,130,osm,0,"LINESTRING (29.5936809 40.7768381, 29.5928668 40.7764205, 29.5920634 40.7759841, 29.5911067 40.7754492, 29.5904721 40.7751072, 29.5893964 40.7745931, 29.588674 40.7743088, 29.5875976 40.773921, 29.5862363 40.7734585, 29.5853649 40.773143, 29.5848088 40.7729286, 29.5840917 40.772637, 29.5833316 40.7722679, 29.5826463 40.7719056, 29.5821479 40.771614, 29.5814372 40.7712113, 29.5800319 40.7703923, 29.579547 40.7701238, 29.5790284 40.7698621, 29.5784539 40.7696198, 29.5778464 40.7694075, 29.5771433 40.7691916, 29.5763504 40.7689877, 29.5753996 40.7688062, 29.5747663 40.7687332, 29.5741541 40.7686843, 29.5735195 40.7686629, 29.5727857 40.7686791, 29.5720439 40.7687377, 29.5713998 40.7688118, 29.5709855 40.7688725, 29.5705712 40.7689516, 29.5694602 40.7692092, 29.5689319 40.7693476, 29.5683629 40.7695193, 29.5660986 40.7703205, 29.5648844 40.770773, 29.5639128 40.7711314, 29.5628951 40.771463, 29.5623033 40.7716557, 29.5617279 40.7718701, 29.5604591 40.7723163, 29.5601618 40.7724161, 29.5586652 40.772927, 29.5580199 40.7730907, 29.5574463 40.7732259, 29.5569875 40.7733057, 29.5565287 40.773375, 29.5556293 40.7734618, 29.5548186 40.7735061, 29.554439 40.7735234, 29.5538889 40.7735522, 29.5528625 40.7736519, 29.5523305 40.7737241, 29.5518125 40.7737998, 29.5508715 40.7740086, 29.5500011 40.7742498, 29.5492608 40.7745218, 29.5485003 40.7748176, 29.546258 40.7757978, 29.5456799 40.7760243, 29.5449327 40.7762574, 29.5442943 40.7764153, 29.5436532 40.7765472, 29.5429237 40.7766469, 29.5422241 40.7766973, 29.5417149 40.7767132, 29.5413668 40.7767088, 29.5407325 40.776674, 29.540281 40.776634, 29.5396028 40.7765375, 29.53894 40.776413, 29.5364169 40.7758907, 29.5356071 40.7757546, 29.5350924 40.7756926, 29.5345939 40.7756521, 29.5341125 40.7756344, 29.533619 40.7756475, 29.5328584 40.7757045, 29.5321543 40.7758255, 29.5315984 40.7759528, 29.5309332 40.776154, 29.5304059 40.7763624, 29.5297653 40.776686)",3,0.16998285439098243,2.6578960228674357e-05,76.5691124658334
26,Korfez - Dilovasi,26012,26551308-1867757716,515.1636296476028,motorway_link,2,osm,0,70,osm,0,"LINESTRING (29.5297653 40.776686, 29.5288278 40.7773911, 29.5286945 40.7775249, 29.5286192 40.7776504, 29.5285813 40.7777494, 29.5285776 40.7778847, 29.5286008 40.7779926, 29.5286836 40.7780993, 29.5288225 40.7782003, 29.5293209 40.7784568, 29.5294851 40.7785353, 29.5297379 40.7786719, 29.5298616 40.778795, 29.5299343 40.7789257, 29.5299541 40.7790483, 29.5299244 40.7791723, 29.5298315 40.7793152, 29.5296489 40.7794527, 29.529427 40.7795688, 29.5292401 40.779683, 29.5291306 40.7798088, 29.5290774 40.7799646, 29.5290081 40.7802326)",3,0.008997022078433791,3.0014124833568058e-05,3.5422777950321165
26,Korfez - Dilovasi,26013,1867757716-1867757756,203.06614409577242,motorway_link,2,osm,0,80,varsayilan,0,"LINESTRING (29.5290081 40.7802326, 29.5291431 40.7810267, 29.5291755 40.7812982, 29.5292271 40.7815491, 29.5292866 40.7817018, 29.5293465 40.7817736, 29.5294451 40.7818444, 29.5295197 40.7818713, 29.5296299 40.7819035)",3,0.009674715900207017,3.0155640329910204e-05,4.175648186131503
26,Korfez - Dilovasi,26014,1867757756-1867757758,10.634942735790563,secondary,1,varsayilan,0,80,varsayilan,1,"LINESTRING (29.5296299 40.7819035, 29.529693 40.7819038, 29.5297509 40.781923)",4,0.010251448084722004,3.014567223097775e-05,4.480400432800422
26,Korfez - Dilovasi,26015,1867757758-1867757769,21.621268125230394,secondary,1,varsayilan,0,80,varsayilan,0,"LINESTRING (29.5297509 40.781923, 29.5297944 40.7819588, 29.529815 40.7820048, 29.5298094 40.7820532, 29.5297784 40.7820958)",3,0.008236950708384374,3.012530516496221e-05,3.833570318215988
26,Korfez - Dilovasi,26016,1867757769-1867757941,760.6996869652943,secondary,1,varsayilan,0,80,varsayilan,0,"LINESTRING (29.5297784 40.7820958, 29.5299023 40.7825152, 29.529823 40.7832688, 29.5297045 40.7844525, 29.5295478 40.7858191, 29.5293983 40.7868408, 29.5293626 40.7872162, 29.5293569 40.7875463, 29.5294367 40.7879177, 29.5294636 40.7883122, 29.5292936 40.788805, 29.5292664 40.7888838)",3,0.0049539999124403504,2.942596676621172e-05,2.3572596324410675
26,Korfez - Dilovasi,26017,1867757941-2035352354,121.23526585337491,secondary,1,varsayilan,0,80,varsayilan,0,"LINESTRING (29.5292664 40.7888838, 29.5291594 40.7890378, 29.5290645 40.7891389, 29.528747 40.7894536, 29.5284057 40.789754)",3,0.008363822854319506,2.9785423878079572e-05,1.5638591558463213
26,Korfez - Dilovasi,26018,2035352354-7262768839,168.06727088869724,secondary,1,varsayilan,0,80,varsayilan,0,"LINESTRING (29.5284057 40.789754, 29.5282677 40.7899354, 29.5281558 40.7901397, 29.5280906 40.7904029, 29.52809 40.7906632, 29.5281608 40.7910978, 29.5281881 40.7912109)",3,0.008364448280391018,2.963191631454104e-05,3.890904722434386
